101;Main Title;Used in the opening sequence
102;North of the Wall;"Winter is Coming": when the three men of the Night's Watch encounter the White Walkers north of the Wall. "The Pointy End": during the burning of the White Walkers. "Valar Dohaeris": Jon tells Mance Rayder about Craster giving his sons to the White Walkers. "Oathkeeper": one of Craster's wives tells Karl about the sacrifices Craster made to the White Walkers of his sons, and later as the White Walker takes Crasters' last boy to an altar where he is turned into a White Walker.
103;Goodbye Brother;House Stark's theme. "The Kingsroad": Jon Snow says goodbye to an unconscious Bran and Ned farewells Catelyn and Bran. "Mother's Mercy": Jon Snow sinks to his knees after having been stabbed by several members of the Night's Watch including Ser Allister Thorne, Olly approaches and deals the final blow, and Jon falls to the ground, bleeding out and seemingly dead.
104;The Kingsroad;"The Kingsroad": Ned farewells Jon Snow as he rides to join the Night's Watch. "Lord Snow": as Ned, Arya, Sansa and the royal court arrive to King's Landing. "Baelor": Robb and his men return with a captive Jaime Lannister. "Two Swords": a modified version appears after Arya and the Hound emerge victorious from the inn.
105;The King's Arrival;House Baratheon's theme. "Winter is Coming": Robert Baratheon and the royal court arrive to Winterfell. A shorter version is used on the main menu of Season 1's DVD/Blu-ray release.
106;Love in the Eyes;Daenerys Targaryen's theme. "The Kingsroad": as Doreah teaches Daenerys how to please Khal Drogo and as they have sexual intercourse. The title comes from Doreah's line "Love comes in the eyes".
107;A Raven from King's Landing;"Winter is Coming": Catelyn tells Ned about Jon Arryn's death. "Cripples, Bastards and Broken Things", "A Golden Crown" and "Fire and Blood": during Bran's dream of the three-eyed raven. "The Climb": Jojen Reed has a green dream. The title comes from Catelyn's line "There was a raven from King's Landing". Contains the melody later used as Petyr Baelish's theme (Chaos is a Ladder).
108;The Wall;The Night's Watch theme. "Lord Snow": as Jon goes to the top of the Wall. "You Win or You Die": when the future men of the Night's Watch are given their assignments and Jon is sent to the stewards. "Fire and Blood": Grenn, Pyp and Sam recite the oath of the Night's Watch to bring Jon back to Castle Black.
109;Things I Do for Love;"Winter is Coming": Bran sees Jaime and Cersei Lannister having sexual intercourse, so Jaime throws him from a window. The title comes from Jaime's line before he pushes Bran from the tower.
110;A Golden Crown;Viserys Targaryen's theme. "Winter is Coming: the first scene of Daenerys and Viserys Targaryen at Illyrio Mopatis' house. "Cripples, Bastards and Broken Things": as Viserys and Doreah talk about dragons. "A Man Without Honor": Arya and Tywin talk about Aegon Targaryen, his sisters and their invasion.
111;Winter Is Coming;"The Kingsroad": Ned kills Lady and Bran awakens. Contains the melody of the House Stark theme (Goodbye Brother). The title comes from the words of House Stark.
112;A Bird Without Feathers;"The Kingsroad": Cersei tells Catelyn about her first son, who died at childbirth. The title comes from Cersei's line regarding her son. Begins with a variation on the Stark theme, and transitions into melody later used as Petyr Baelish's theme (Chaos is a Ladder).
113;Await the King's Justice;"Cripples, Bastards and Broken Things": Catelyn arrests Tyrion Lannister for conspiring to murder Bran. The title comes from Catelyn's line "I call upon you to seize him and help me return him to Winterfell, to await the King's Justice". "Mockingbird": Plays during the end credits, directly after Petyr Baelish pushes Lysa Arryn out the Moon Door. Contains the melody later used as Petyr Baelish's theme (Chaos is a Ladder).
114;You'll Be Queen One Day;"A Golden Crown": Joffrey asks for Sansa's forgiveness, gives her a necklace and they kiss. Contains the melody of the Baratheon theme.
115;The Assassin's Dagger;"The Kingsroad": Catelyn fights against the assassin sent for Bran.
116;To Vaes Dothrak;"The Kingsroad": as Khal Drogo's khalasar rides towards Vaes Dothrak. "Cripples, Bastards and Broken Things": as Drogo's khalasar enter Vaes Dothrak.
117;Jon's Honor;"Fire and Blood": Jon attempts to escape the Night's Watch. Contains part of the melody of the Main Theme.
118;Black of Hair;"A Golden Crown": Ned deduces that Joffrey Baratheon is not Robert's son. Contains the melody later used as Petyr Baelish's theme (Chaos is a Ladder).
119;You Win or You Die;Joffrey Baratheon's theme. "You Win or You Die": Joffrey proclaims himself king. "The Pointy End": Joffrey tells Sansa that Ned must confess to treason or there will be no mercy for him. "Fire and Blood": after Ned Stark has been decapitated under orders of King Joffrey. Also as Joffrey shows Sansa the heads of Ned and the Stark bannermen. "Garden of Bones": Joffrey has Sansa beaten by Ser Meryn, and also as he has tortured the prostitutes sent by Tyrion. "Dark Wings, Dark Words": Sansa reveals to Margaery and Olenna Tyrell that Joffrey is a monster. "And Now His Watch Is Ended": Margaery and Joffrey address the multitude at King's Landing. "Second Sons": Joffrey threatens Sansa to rape her after Tyrion passes out. Contains the melody of the House Baratheon theme (The King's Arrival). The title comes from Cersei Lannister's famous line "When you play the game of thrones you win or you die, there is no middle ground".
120;Small Pack of Wolves;"The Wolf and the Lion": during Jaime Lannister and Ned Stark's fight. The title comes from Jaime Lannister's line "What a small pack of wolves". Contains the melody later used as Petyr Baelish's theme (Chaos is a Ladder).
121;Game of Thrones;A variation on the Main Theme. Used in the credits in many episodes. The title comes from Cersei Lannister's famous line "When you play the game of thrones you win or you die, there is no middle ground."
122;Kill Them All;"Fire and Blood": Maester Luwin receives news of Ned's death, Catelyn mourns over Ned, and she comforts Robb. "Valar Morghulis": Bran, Rickon, Osha and Hodor discover Winterfell burnt and destroyed. Contains the melody of the House Stark theme and part of the Main Theme.
123;The Pointy End;"Lord Snow": during Arya's first lesson with her "dancing master" Syrio Forel. The title comes from Arya's line "Stick them with the pointy end". Contains the melody of Things I Do for Love.
124;Victory Does Not Make Us Conquerors;"Baelor": Robb tells his troops that the war is far from over. Contains the melody of the House Stark theme (Goodbye Brother) The title comes from Robb's line "One victory does not make us conquerors".
125;When the Sun Rises in the West;"Fire and Blood": Daenerys smothers the catatonic Drogo. The title comes from Mirri Maz Duur's line "When the sun rises in the west and sets in the east, when the seas go dry and mountains blow in the wind like leaves". Contains the melody of the Daenerys Targaryen theme (Love in the Eyes).
126;King of the North;"Fire and Blood": Robb Stark is proclaimed King in the North by the high lords of the North. Contains the melody of the House Stark theme (Goodbye Brother). This track is incorrectly titled King of the North, when the actual title given to Robb Stark is King in the North.
127;The Night's Watch;"Fire and Blood": Lord Commander Mormont tells Jon Snow that he intends to march North of the Wall, and the subsequent marching. Contains part of the melody of the Main Theme.
128;Fire and Blood;"Fire and Blood": the funeral pyre of Khal Drogo, Mirri Maz Duur is burnt in it and Daenerys walks into the flames. Contains the melody of the Daenerys Targaryen theme (Love in the Eyes). The title comes from the words of House Targaryen.
129;Finale;"Fire and Blood": Daenerys appears alive and unharmed by the flames with the three dragons which have hatched from the dragon's eggs in Drogo's pyre. Contains the melody of the Daenerys Targaryen theme (Love in the Eyes) and the Main Theme.
201;Main Title;Used in the opening sequence
202;The Throne Is Mine;"The North Remembers": during the massacre of Robert Baratheon's bastard children. Contains the melody of the House Baratheon (The King's Arrival) and Petyr Baelish's theme (Chaos is a Ladder).
